conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Multiple sclerosis	http://www.symcat.com/conditions/multiple-sclerosis	Multiple sclerosis	"Also known as MS, Disseminated Sclerosis, and Insular Sclerosis"			Dizziness	28		
Croup	http://www.symcat.com/conditions/croup	Croup	Also known as Acute Laryngotracheobronchitis					Hispanic	1.2x
Ischemic heart disease	http://www.symcat.com/conditions/ischemic-heart-disease	Ischemic heart disease	null		Torsemide				
Hypothyroidism	http://www.symcat.com/conditions/hypothyroidism	Hypothyroidism	null			Too little hair	4		
Fungal infection of the skin	http://www.symcat.com/conditions/fungal-infection-of-the-skin	Fungal infection of the skin	"Also known as Dermatomycosis, Fungal Skin Disease, Cutaneous Mycosis, and Epidermomycosis"		Betamethasone-Clotrimazole Topical				
Psychotic disorder	http://www.symcat.com/conditions/psychotic-disorder	Psychotic disorder	null		Methylphenidate				
Pyogenic skin infection	http://www.symcat.com/conditions/pyogenic-skin-infection	Pyogenic skin infection	Also known as Pyoderma and Pyodermia	Examination of foot					
Parkinson disease	http://www.symcat.com/conditions/parkinson-disease	Parkinson disease	null					1-4 years	0.0x
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"		Rifaximin				
Tinnitus of unknown cause	http://www.symcat.com/conditions/tinnitus-of-unknown-cause	Tinnitus of unknown cause	null	Other therapeutic ear procedures					
Deep vein thrombosis (DVT)	http://www.symcat.com/conditions/deep-vein-thrombosis-dvt	Deep vein thrombosis (DVT)	Also known as DVT and Deep Thrombophlebitis		Heparin				
Otitis media	http://www.symcat.com/conditions/otitis-media	Otitis media	Also known as Middle Ear Infection		Ofloxacin				
Lymphoma	http://www.symcat.com/conditions/lymphoma	Lymphoma	Also known as Malignant Lymphoma		Bleomycin				
Hypovolemia	http://www.symcat.com/conditions/hypovolemia	Hypovolemia	Also known as Fluid Volume Deficit and Fluid volume depletion			Headache	33		
Fracture of the facial bones	http://www.symcat.com/conditions/fracture-of-the-facial-bones	Fracture of the facial bones	null		Cefazolin				
Conduct disorder	http://www.symcat.com/conditions/conduct-disorder	Conduct disorder	null			Temper problems	18		
Rectal disorder	http://www.symcat.com/conditions/rectal-disorder	Rectal disorder	Also known as Rectal Disease	Rectal examination					
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null			Leg cramps or spasms	3		
Injury of the ankle	http://www.symcat.com/conditions/injury-of-the-ankle	Injury of the ankle	Also known as Ankle injury					1-4 years	0.2x
Hyperlipidemia	http://www.symcat.com/conditions/hyperlipidemia	Hyperlipidemia	Also known as Lipidemia and Excessive Fat In The Blood					Other	1.0x
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy					< 1 years	0.0x
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy	Intravenous fluid replacement					
Hypovolemia	http://www.symcat.com/conditions/hypovolemia	Hypovolemia	Also known as Fluid Volume Deficit and Fluid volume depletion	Intravenous fluid replacement					
Panic disorder	http://www.symcat.com/conditions/panic-disorder	Panic disorder	null			Dizziness	24		
Tendinitis	http://www.symcat.com/conditions/tendinitis	Tendinitis	null		Ethanol (On Guard)				
Rheumatoid arthritis	http://www.symcat.com/conditions/rheumatoid-arthritis	Rheumatoid arthritis	Also known as Atrophic Arthritis and Proliferative Arthritis			Ache all over	29		
Temporary or benign blood in urine	http://www.symcat.com/conditions/temporary-or-benign-blood-in-urine	Temporary or benign blood in urine	Also known as Benign Hematuria and Essential Hematuria	Radiographic imaging procedure					
Gallstone	http://www.symcat.com/conditions/gallstone	Gallstone	"Also known as Cholelithiasis, Gallstone Disease, and Calculus Of Gallbladder"					Male	0.6x
Corneal abrasion	http://www.symcat.com/conditions/corneal-abrasion	Corneal abrasion	Also known as Cornea Scratch		Sodium Sulfacetamide Ophthalmic				
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome					Black	0.8x
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu			Blood in stool	21		
Fracture of the shoulder	http://www.symcat.com/conditions/fracture-of-the-shoulder	Fracture of the shoulder	Also known as Shoulder Fracture and Proximal Humeral Fracture			Bones are painful	26		
Colonic polyp	http://www.symcat.com/conditions/colonic-polyp	Colonic polyp	Also known as Colon Polyp and Polyp Of Colon					< 1 years	0.0x
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy					5-14 years	0.1x
Pulmonary embolism	http://www.symcat.com/conditions/pulmonary-embolism	Pulmonary embolism	Also known as Lung Embolism					Hispanic	0.6x
Kidney failure	http://www.symcat.com/conditions/kidney-failure	Kidney failure	Also known as Renal Failure	Kidney function tests (Kidney function test)					
Deviated nasal septum	http://www.symcat.com/conditions/deviated-nasal-septum	Deviated nasal septum	null			Facial pain	21		
Varicose veins	http://www.symcat.com/conditions/varicose-veins	Varicose veins	"Also known as Varicose Vein, Varices, Varix, Phlebectasia, Venous Ectasia, and Enlarged Tortuous Blood Vessel"					30-44 years	0.7x
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder		Nelfinavir (Viracept)				
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null					5-14 years	0.0x
Drug abuse (opioids)	http://www.symcat.com/conditions/drug-abuse-opioids	Drug abuse (opioids)	Also known as Opioid Abuse and Opiate Abuse			Abusing alcohol	30		
Breast cancer	http://www.symcat.com/conditions/breast-cancer	Breast cancer	Also known as Cancer Of Breast and Malignant Neoplasm Of Breast		Trastuzumab (Herceptin)				
