title	other_names	desc	diseases	side_effects
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Depressive or psychotic symptoms	Fatigue
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Bipolar disorder	Constipation
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Delusions or hallucinations	Shortness of breath
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Psychotic disorder	Cough
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Hostile behavior	Painful menstruation
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Schizophrenia	Toothache
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Post-traumatic stress disorder (PTSD)	Vaginal discharge
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Personality disorder	Fever
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Sneezing
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Involuntary urination
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Neck stiffness or tightness
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Ear pain
