meds	meds-href	title	other_names	desc	diseases	side_effects
Olanzapine	http://www.symcat.com/medications/olanzapine	Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Fatigue
Budesonide	http://www.symcat.com/medications/budesonide	Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Drainage in throat	
Phenazopyridine	http://www.symcat.com/medications/phenazopyridine	Phenazopyridine (Azo)	"Also known as Pyridium Plus, Pyrelle, Urelief, Tija, Urobiotic, Pyridium, Azo Gantanol, Azo Gantrisin, Azo-Gesic, and Azo-Standard"	"Phenazopyridine is a chemical which, when excreted into the urine, has a local analgesic effect. It is often used to alleviate the pain, irritation, discomfort, or urgency caused by urinary tract infections, surgery, or injury to the urinary tract. Phenazopyridine was discovered by Bernhard Joos, the founder of Cilag."		
Oseltamivir	http://www.symcat.com/medications/oseltamivir	Oseltamivir (Tamiflu)	Also known as Tamiflu	"Oseltamivir INN , marketed under the trade name Tamiflu, is an antiviral drug, which may slow the spread of influenza (flu) virus between cells in the body by stopping the virus from chemically cutting ties with its host cell. The drug is taken orally in capsules or as a suspension. It is used to treat influenza A virus and influenza B virus. Oseltamivir is a prodrug, a (relatively) inactive chemical, which is converted into its active form by metabolic process after it is taken into the body. It was the first orally active neuraminidase inhibitor commercially developed. It was developed by C.U. Kim, W. Lew, and X. Chen of US-based Gilead Sciences, and is marketed by Genentech."		Swollen lymph nodes
Ketoconazole	http://www.symcat.com/medications/ketoconazole	Ketoconazole	Also known as Nizoral and Xolegel	"Ketoconazole  is a synthetic antifungal and antiandrogenic drug used to prevent and treat fungal skin infections, especially in immunocompromised patients such as those with AIDS or those on chemotherapy. Ketoconazole is sold commercially as an antidandruff shampoo, topical cream, and oral tablet."	Onychomycosis	
Tetracaine	http://www.symcat.com/medications/tetracaine	Tetracaine (One Touch)	"Also known as Cetacaine, Zap Benzocaine Tetracaine Combination, Exactacain, One Touch, Freeze Brand Of Benzocaine, Zap Brand Of Benzocaine/Tetracaine, One Touch Reformulated Apr 2009, Denticare Denti Freeze Gel, Synera, and Pliaglis"	"Tetracaine (INN, also known as amethocaine; trade name Pontocaine. Ametop and Dicaine) is a potent local anesthetic of the ester group. It is mainly used topically in ophthalmology and as an antipruritic, and it has been used in spinal anesthesia."	Conjunctivitis	
Benazepril	http://www.symcat.com/medications/benazepril	Benazepril	"Also known as Lotensin Hct 10/12.5, Lotensin Hct 20/12.5, Lotensin Hct 20/25, Lotensin Hct 5/6.25, Lotrel 10/20, Lotrel 10/40, Lotrel 2.5/10, Lotrel 5/10, Lotrel 5/20, and Lotrel 5/40"	"Benazepril, brand name Lotensin (Novartis), is a medication used to treat high blood pressure (hypertension), congestive heart failure, and chronic renal failure. Upon cleavage of its ester group by the liver, benazepril is converted into its active form benazeprilat, a non-sulfhydryl angiotensin-converting enzyme (ACE) inhibitor."	Cytomegalovirus infection	
Propranolol	http://www.symcat.com/medications/propranolol	Propranolol	"Also known as Inderide 40/25, Inderide 80/25, Inderide 120/50, Inderide 160/50, Inderide 80/50, Angilol, Apsolol, Avlocardyl Retard, Bedranol Sr, and Berkolol"	"Propranolol (INN) is a sympatholytic non-selective beta blocker. Sympatholytics are used to treat hypertension, anxiety and panic. It was the first successful beta blocker developed. Propranolol is available in generic form as Propranolol Hydrochloride; marketed in India under brand names like Ciplar and Ciplar LA by Cipla, also other brands from AstraZeneca and Wyeth under brand names Inderal, Inderal LA, Avlocardyl, Deralin, Dociton, Inderalici, InnoPran XL, Sumial, Anaprilinum, Bedranol SR (Sandoz)."	Graves disease	
Spironolactone	http://www.symcat.com/medications/spironolactone	Spironolactone	Also known as Aldactone	"Spironolactone (INN, BAN, USAN) , commonly referred to simply as ""spiro"", and marketed primarily under the brand name Aldactone in most countries, is a synthetic, steroidal antimineralocorticoid agent with additional antiandrogen and weak progestogen properties, as well as some indirect estrogen and glucocorticoid effects, which is used primarily as a diuretic and antihypertensive, but also for the purpose of reducing elevated or unwanted androgen activity in the body. It acts predominantly as a competitive antagonist of the aldosterone (or mineralocorticoid) receptor, and belongs to a class of pharmaceutical drugs known as potassium-sparing diuretics."	Liver disease	
Nalbuphine	http://www.symcat.com/medications/nalbuphine	Nalbuphine (Nubain)	Also known as Nubain	"Nalbuphine is a semi-synthetic opioid used commercially as an analgesic under a variety of trade names, including Nubain."	Leptospirosis	
Raloxifene	http://www.symcat.com/medications/raloxifene	Raloxifene (Evista)	Also known as Evista	Raloxifene (marketed as Evista by Eli Lilly and Company) is an oral selective estrogen receptor modulator (SERM) that has estrogenic actions on bone and anti-estrogenic actions on the uterus and breast. It is used in the prevention of osteoporosis in postmenopausal women.		Sweating
Olanzapine	http://www.symcat.com/medications/olanzapine	Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Constipation
Ipratropium	http://www.symcat.com/medications/ipratropium	Ipratropium	"Also known as Combivent, Duoneb, Combivent 20/100, Atrovent, Atrovent Forte, Rinatec, Atrovent Nasal, Steri-Neb Ipratropium, Respontin Nebules, and Tropiovent Steripoule"	"Ipratropium bromide (INN, trade names Atrovent, Apovent, Ipraxa, Aerovent and Rinatec) is an anticholinergic drug used for the treatment of chronic obstructive pulmonary disease and acute asthma. It blocks the muscarinic acetylcholine receptors in the smooth muscles of the bronchi in the lungs, opening the bronchi."		Indigestion
Gentamicin Ophthalmic	http://www.symcat.com/medications/gentamicin-ophthalmic	Gentamicin Ophthalmic	null	Gentamicin Ophthalmic is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Eye redness	
Spironolactone	http://www.symcat.com/medications/spironolactone	Spironolactone	Also known as Aldactone	"Spironolactone (INN, BAN, USAN) , commonly referred to simply as ""spiro"", and marketed primarily under the brand name Aldactone in most countries, is a synthetic, steroidal antimineralocorticoid agent with additional antiandrogen and weak progestogen properties, as well as some indirect estrogen and glucocorticoid effects, which is used primarily as a diuretic and antihypertensive, but also for the purpose of reducing elevated or unwanted androgen activity in the body. It acts predominantly as a competitive antagonist of the aldosterone (or mineralocorticoid) receptor, and belongs to a class of pharmaceutical drugs known as potassium-sparing diuretics."	Viral hepatitis	
Ibuprofen	http://www.symcat.com/medications/ibuprofen	Ibuprofen	Also known as Advil and Motrin	"Ibuprofen (INN)  is a nonsteroidal anti-inflammatory drug (NSAID) used for pain relief, fever reduction, and against swelling."		Hypocalcemia
