conditions	conditions-href	title	other_names	symps	percentages	test	ages	age_freq	sex	sex_freq	race	race_freq	meds
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Lipid panel							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null							1.2x			
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		6								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null								Hispanic		
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				15-29 years						
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Other hernia repair							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Symptoms of the scrotum and testes									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Regurgitation									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		29								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		2								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Swollen abdomen									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				< 1 years						
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		12								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					0.5x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null									0.7x	
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		2								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Sharp abdominal pain									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		65								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Acetohydroxamic Acid
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					0.3x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		21								
