title	other_names	desc	causes	percentages	related	related_p	tests	meds	ages	ages_freq	sex	sex_freq	race	race_freq
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Spinal stenosis	3	Depression	24	Hematologic tests (Blood test)	Carbidopa	30-44 years	0.7x	Female	1.1x	Other	1.0x
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Depression	4	Weakness	18	X-ray computed tomography (Scan ct)	Levodopa	15-29 years	1.0x	Male	0.9x	Black	1.1x
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Osteoarthritis	4	Low back pain	30	Complete blood count (Cbc)	Ropinirole	75+ years	1.6x			Hispanic	0.6x
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Parkinson disease	4	Difficulty speaking	24	Kidney function tests (Kidney function test)	Probenecid	60-74 years	1.4x			White	1.4x
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Sprain or strain	4	Neck pain	44	Plain x-ray (X ray)	Baclofen	< 1 years	0.8x				
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Epilepsy	6	Fever	30	Radiographic imaging procedure	Abacavir	5-14 years	0.6x				
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Spondylosis	9	Seizures	24	Glucose measurement (Glucose level)	Stavudine (Zerit)	1-4 years	0.3x				
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Spondylitis	7	Abnormal involuntary movements	30	Electrocardiogram	Entacapone (Comtan)	45-59 years	1.1x				
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Ache all over	70		Nelfinavir (Viracept)						
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Back pain	18		Capsaicin Topical						
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Peripheral edema	30		Calcium Polycarbophil (Fibercon)						
Stiffness all over	null	Stiffness all over is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Cramps and spasms	30		Lactulose						
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Depression	6	Temper problems	50	Examination of foot	Guanfacine (Intuniv)	1-4 years	1.6x	Male	0.7x	Hispanic	2.1x
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Psychotic disorder	2	Hostile behavior	10	Arterial blood gases (ABGs)	Triiodothyronine (Cytomel)	< 1 years	0.4x	Female	1.2x	White	0.6x
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Schizophrenia	2	Frequent urination	18	Lipid panel	Diethylpropion (Tenuate)	15-29 years	0.9x			Other	1.0x
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Diabetes	9	Weight gain	18	Psychotherapy	Naltrexone	75+ years	0.6x			Black	1.0x
